text,label
"At 5:25 pm, on October 2, 2023, Employee #1 was employed by an HVAC contractor. Employee #1 was leaving the construction job site for the day when the accident occurred. Employee #1 and a coworker were using a job made ladder as a bridge/walkway to cross an alley to reach their parked vehicles at the end of the workday. The span was on or about (7') wide and (17') high above concrete and connected the first floor of the building and a retaining wall. The ladder slipped causing Employee #1 to fall 17' to the concrete. The initial injuries to Employee #1 were contusions, lacerations to the head, and concussion. Employee # 1 was hospitalized and died two days later.",T
"At 5:30 p.m. on July 20, 2020, an employee was performing construction work and stopped to go to his lunch box when a coworker saw the employee stumble and coll apse. The employee was taken by ambulance to a local hospital and was kept overn ight for treatment of a possible heat stress related injury.",F
"At 7:00 p.m. on September 17, 2023, Employee #1, a construction laborer, was operating a handheld concrete saw (14-inch blade) to cut the rebar located on the concrete floor being demolished. After the rebar was cut, chipping hammers were used to demolish the concrete floor, which would fall onto the first floor below. A concrete slab collapsed under Employee #1, falling 17 feet to the ground below. Employee #1 was tied off to a vertical metal beam using a lifeline with a rope grab, which was attached to his lanyard. His personal fall arrest system was not rigged such that he could not free fall more than 6 feet. Employee #1 was hospitalized and was taken off from life support and died due to a head injury.",T
"At 7:30 p.m. on October 4, 2023, an employee was on his assigned route doing facility inspections as a security guard. The facility had multiple floors to which the employee was tasked to check each floor during his assigned route. In order to access each floor level, the facility maintains two stair wells, in addition to an old mill manlift (belt driven vertical manlift), which is installed in the center of the structure and runs vertically through each floor level. At some point during his inspection, the employee utilized the manlift to transition from the sixth floor to a lower level. It was surmised, at some point in this process, the employee was struck by or fell upon the moving manlift, suffering blunt force trauma. The employee was discovered approximately one hour later by a coworker and was pronounced dead onsite by first responders.",T
"At 7:50 a.m. on June 30, 2023, an employee was employed by WSDOT as the bridge attendant on the SR99 bridge by himself and went off the bridge overnight. When his relief arrived the next morning, he was nowhere to be found and a search was initiated. The employee was found in the Duwamish Waterway approximately 0.5 miles downstream.",T
"At 8:00 a.m. on July 1, 2023, an employee was standing on an extension ladder to prep the wall for painting. The employee fell approximately 20 feet from the ladder to the concrete sidewalk below. The employee was killed due to blunt force trauma.",T
"At 8:08 p.m. on October 9, 2023, an employee working for residential mental health and substance abuse facility was hospitalized after falling down the stairs and hitting her head. The employee was in critical condition. On October 14, 2023, she died after being taken off life support.",T
"At 8:15 a.m. on June 28, 2023, an employee was working on top of a Gradall, assisting the mechanic by holding a bucket of leaking hydraulic fluid. The employee fell approximately 7.5 feet from the Gradall to the ground. The employee suffered trauma to the head and neck and died.",T
"At 8:30 a.m. on July 5, 2022, two employees working at an undeveloped housing co mmunity were digging a trench to accommodate a sewer line for future homesites. While digging the trench with an excavator, Employee #1 was in the trench perfor ming work with a shovel. The trench was 8.5 feet in depth and 36 inches wide. Th e soil was determined as Type C soil. There were no protective measures in place . The trench walls collapsed and according to the coworker, Employee #1 ran towa rds the excavator in the opposite direction of an extension ladder that had been placed for access. Employee #1 was fully covered by soil resulting in Employee #1's death.",F
"At 8:30 a.m. on October 5, 2023, an employee was holding the suction tube of a hydro-vac system to remove product from a hopper railcar. As the employee was holding the hydro-vac tube, the tube jammed with product that caused it to vibrate/shake. The employee lost his balance and fell, hitting his head on the side of the hydro-vac truck as he fell to the ground. The employee was not in use of a complete fall protection system. The employee was killed due to a severe injury to the head.",T
"At 8:30 a.m. on September 27, 2023, an employee was working on finish steel work on an elevated tower structure at a lumber mill. The employee walked across a section of grating that had not been secured and fell 70 feet. The employee was killed.",T
"At 8:30 a.m. on September 28, 2023, an employee was working with three coworkers atop the roof of a four-story apartment building (#6000), rolling out and installing synthetic paper. The employee was wearing a safety harness. However, at the time of the accident, he was not secured to his lifeline/anchor point, when he fell from the roof, which was approximately 42 feet high. The employee was killed.",T
"At 8:30 p.m. on April 29, 2022, two employees were placing drainage pipes in a 1 0-foot-deep trench as part of a pole building construction project. The trench c ollapsed and crushed both employees, killing them. The homeowner stopped at the job site to see the progress of the work when he noticed the excavation had coll apsed and called 911. Authorities worked until 2:00 a.m. to recover the employee s but both had been asphyxiated.",F
"At 8:40 p.m. on October 3, 2023, an employee was painting the conference room and was removing tape from the walls while standing on a work platform. The employee collapsed from the work platform/ladder. The employee suffered three broken ribs and a head injury. The employee was killed.",T
"At 8:50 p.m. on May 7, 2022, Employee #1 and Employee #2 were performing foundat ion repair work on a residential wooden frame house as part of a 2-man work crew . Both employees were working under the crawl space of the house to level the sa gging foundation using two jacks. While the two jacks were simultaneously raisin g a galvanized steel beam, Employee #1 began receiving an electric shock and cou ld not remove his hands from the jack wrench. When Employee #1 screamed out for help, Employee #2 started crawling towards him to help but was electrocuted and killed. Employee #1 was hospitalized for injuries sustained from the electric s hock.",F
"At 8:58 p.m. on June 29, 2023, an employee was on a scissor lift, performing minor electrical work on the inside of a warehouse garage door. The door opened automatically, striking the scissor lift, and tipping the lift over. The employee sustained multiple traumatic injuries and was killed.",T
"At 9:00 a.m. on June 24, 2022, an employee was working in a trench repairing a n ew sewer line when the trench collapsed. The employee was asphyixated and died o n the scene.",F
"At 9:00 a.m. on June 27, 2023, an employee was working on top of stacked tobacco barrels at a height of 20 feet, wrapping them in thick opaque plastic to prepare the tobacco for fumigation with aluminum phosphide. The employee unhooked his harness from the cross-arm strap tied to the ceiling beam and attempted to move to another stack of tobacco barrels that was four feet beneath him. There was a 61-inch gap between the barrels, and the employee fell approximately 20 feet to the concrete floor and was killed. The employee died of blunt force trauma to the head.",T
"At 9:00 a.m. on May 16, 2022, an employee was performing final operating checks after installing electric, heating and air ventilation (HVAC), and plumbing syst ems in a newly constructed residential home. A 1,000-gal propane tank was delive red at the site on May 12, 2022, and on May 13, 2022 the employee had performed initial checks on the fireplace and air conditioner. On May 16, 2022 the employe e was working alone to perform the final operational checks on the furnace which was the final task remaining on the project. A large explosion occurred shortl y after the employee began work at the jobsite. The structure was destroyed and the employee was killed from multiple injuries related to the explosion and fire . The employee's body was found close to the propane furnace in the basement of the home. The house explosion was caused by a propane release combined with an undetermined ignition source. The propane tank at the time of the explosion cont ained 50 gal of propane, which is a typical amount used by installers to verify correct operation of the equipment.",F
"At 9:19 p.m. on April 26, 2022, an employee who worked as an Electrician was in the process of installing new electrical wiring connections from a ceiling grid to LED lighting in a suite within an office building. The employee was standin g on a metal ladder while replacing the ceiling light fixtures when he contacted a live 277 volt wire that had not been deenergized. The employee was killed aft er being electrocuted and incurring blunt force trauma to his head from falling off the ladder.",F
"At 9:35 p.m. on September 21, 2023, two employees, Employee #1 and a coworker, were on the flat roof of a three-story apartment building, approximately 32 feet above the ground to replace a compressor in a broken AC unit. The two employees then began looking around the roof for left over brazing rods that they might have left behind during a previous visit, because they forgot their brazing rods in the vehicle. Employee #1 then walked on to an approximately 7-inch-wide by 25-foot-long decorative roof beam, and he slipped and fell to the concrete ground. The employee was killed.",T
"At 9:44 a.m. on September 21, 2023, an employee working as a roofer for a residential remodeler was working on the top of a detached garage replacing a roof. The employee was working with a crew that included two coworkers when he fell approximately 12 feet through a skylight opening. The employee was not wearing fall protection at the time of the fall and did not receive training on fall protection and the hazards associated with falls. The employee sustained a concussion and died as a result of his injuries",T
"At approximately 1:00 p.m. on August 31, 2006, Employee #1 was conducting electrical preventive maintenance and testing on Switchboard RM-3 at the San Diego County Water Authority's Olivenhain Pumping Statio. RM-3 was a three-phase, four wire metering station of 277/480 volts and 1,600 apms. He was using a ductor testing device on the switchboard while cleaning the insulators around the busbar. Employee #1 had moved the clamp on the ductor tester equipment from the Phase A bus to the Phase B bus when the breaker flashed, causing an explosion. He suffered second- and third-degree burns to his left forearm and palm, as well as lesser burns to his face and ear. Employee #1's supervisor was walking to the pumping station when the explosion occurred, and he called 911. Employee #1 was transported by ambulanced from the dam to meet a medical helicopter. He was then airlifted to the UC-San Diego Burn Center. As of September 5, 2006, Employee #1 remained hospitalized. He expected to be released soon, but did not know when he would be able to return to work.",F
"At approximately 3:30 p.m. on July 8, 2002, a construction employee performed cleanup work at an apartment complex. He was later observed by a coworker lying face down on the ground. The temperature that day was in the upper 90's. It was determined that the employee died from heat stroke.",F
"At approximately 3:30 p.m. on May 10, 2012, Employee #1 was working for two individuals. they were homeowners engaged in construction activities as owner-builders. The company had three employees. Employee #1 was working in Beverly Hills, CA, 90210. At the time of the incident, Employee #1 was digging a trench with hand tools. The trench was twenty-two inches wide, ten feet deep and sixteen feet long (0.56 meters wide by 3.0 meters deep by 4.9 meters long). The soil was saturated with water due to the high water table present in the canyon where the residence was located. Workers were waterproofing and installing drains around the basement of the residence. The trench was unshored, and it collapsed. Employee #1 was engulfed in muddy soil. He was asphyxiated. Employee #1 was pronounced dead at the scene by Los Angeles City fire paramedics. The cause of the trench's collapse was the creation of an excavation without the use of a protective system to prevent a cave-in.",F
"At approximately 3:30 p.m. on or about June 5, 2007, Employee #1, a journeyman electrician, was repairing, troubleshooting, and upgrading a 480 volt AC light circuit. He and a coworker journeyman were working on the backside of a 613F vertical exchanger, located on the third level of the Resid Hydrotreater Unit's RHU Vapor Recovery Unit 600 series exchanger area, when he was electrocuted. Subsequent investigation revealed that Lock-Out Tag-Out devices were not installed; the lock was found in Employee #1's pocket.",F
"At approximately 3:46 p.m., after lunch, on May 31, 2006, Employee #1, employed with Mark Stiles Sr. Construction, LLC for nine days, was on a crew of four on the construction of a preengineered post and frame steel building. Employee #1 was shoveling dirt and backfilling holes, when he collapsed. Employee #1 was experiencing heat stress-related symptoms, so emergency medical services was called. Employee #1 was taken to Southeastern Ohio Regional Medical Center and was transported to OSU Medical Center the next day. Employee #1 died in the hospital due to heat stroke on June 9, 2006 at 12:37 a.m. On the day of the incident, the maximum temperature was 88 degrees F and the maximum humidity was 94 to 100 (average humidity was 70 to 79).",F
"At approximately 6:00 p.m. on May 20, 2013, Employee #1, a painter employed by Spartan Contracting LLC, was working as part of a painting crew. The crew was making preparations to paint the Glover Cary Bridge on Hwy 2262 in Owensboro, KY. The crew finished their work for the day. They were in the process of securing the area. Employee #1 returned to the bridge upper frame. He was electrocuted. He was found lying unresponsive on the catch net, just below the upper framework of the bridge. The subsequent investigation of this fatality determined that the employer had been contracted by Kentucky Transportation Cabinet District II to do the bridge painting.",F
"At approximately 7:45 a.m. on April 3, 2014, Employee #1, an insulation worker employed by a plastering, drywall, and insulation company, was working at a school building that was being newly constructed. He was in corridor K of B wing, standing on a 10-foot stepladder, Werner Fiberglass Model 6210, Part Number 100515-35, and using a brush to apply Design Polymeric Water Based Vapor Barrier DP3040 from a two-gallon bucket. This was one step in the process of installing and sealing HVAC duct work insulation inside the building. Employee #1 fell from the ladder. He was found lying on the concrete floor, moaning and incoherent. Emergency services were called, and Employee #1 was airlifted to Palmetto Health Richland Hospital, where he was admitted and treated for head injuries. Employee #1 died at the hospital the following day, April 4, 2014. This event was investigated by South Carolina OSHA. The investigation determined that Employee #1 weighed approximately 165 pounds and was 5 feet 7 inches tall. The stepladder was less than six months old and had no visible defects. It was rated for 300 pounds. The ladder was situated on a level concrete floor when Employee #1 fell. The highest part of the HVAC duct work was approximately 12 feet 6 inches above the floor, and the lowest part was approximately 11 feet above the floor.",T
"On April 6th, 2011, a four man line crew was completing a restoration project for 12.4 kV phase to ground service conductors that were overhead aluminum lines. The worksite location was along County Road XX in Livingston, WI. The service lines were located on the eastside of County Road XX. The line crew consisted of a ground man, a technician, an equipment operator, and the crew foreman, a journeyman power line worker. The crew was working to remove the last sections of the old service conductors that had been previously deenergized. Prior to the incident, the technician was working from a bucket truck and had removed the deenergized service conductors from several of the hot arms. The deenergized conductors had been lowered to approximately 8 ft above ground level at service pole 26/3. At the time of the incident, the technician was working from a bucket truck at a pole identified as K200 40, the 3rd pole North of County Highway IG. At approximately 2:00 pm, the crew foreman was working from the ground to manually apply tension to the conductors by pulling them towards service pole 26/3 then securing them to the pole with rope grips. The crew foreman had performed this action on the conductor that farthest from the road and that conductor was secured to the pole. The crew foreman then looped a rope over the conductors closest to the road and pulled them down to him. He then grasped at least one of the two conductors with his left hand and under his right arm and was walking the line toward the service pole. The deenergized service conductor made contact with an energized conductor which was most likely near service pole 26/11. This contact energized the conductor the crew foreman was handling and electrocuted him. Service pole 26/11 was three poles north of service pole 26/3 and the accident location. No other employees were injured.",F
